customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0051,Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,84.26,993.81,Yes
C0052,Male,1,Yes,No,55,No,No,No,No,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),99.51,5354.64,No
C0053,Male,1,No,Yes,58,No,Yes,DSL,No,No internet service,No,Yes,Yes,Yes,One year,No,Mailed check,90.44,892.4,Yes
C0054,Male,0,No,No,1,Yes,No phone service,No,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),98.76,1257.23,No
C0055,Male,1,Yes,Yes,27,No,No phone service,DSL,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),32.85,192.21,No
C0056,Female,0,No,No,61,No,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,One year,No,Mailed check,87.12,3100.05,No
C0057,Male,1,No,Yes,38,No,No,No,No,Yes,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),93.18,5442.94,Yes
C0058,Female,0,Yes,Yes,15,Yes,No,No,No,No internet service,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),48.6,4441.74,No
C0059,Female,0,Yes,Yes,43,No,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.21,5739.44,No
C0060,Female,1,No,Yes,11,No,No,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,Two year,No,Electronic check,49.08,5743.51,No
C0061,Female,1,No,Yes,2,No,No phone service,DSL,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),42.87,1206.95,No
C0062,Male,0,Yes,Yes,45,No,No,No,Yes,No,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),106.44,504.34,No
C0063,Female,1,No,Yes,37,No,Yes,DSL,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,43.2,5322.29,Yes
C0064,Male,1,No,No,54,No,No,DSL,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,60.38,5558.65,No
C0065,Male,0,No,No,25,No,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),55.53,4739.96,No
C0066,Female,1,No,No,61,No,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,No internet service,One year,No,Credit card (automatic),109.6,2102.56,Yes
C0067,Male,1,No,No,30,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.43,6894.91,No
C0068,Male,0,Yes,Yes,53,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No,One year,Yes,Mailed check,88.82,659.97,No
C0069,Male,0,Yes,Yes,8,No,No phone service,No,Yes,No,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,98.99,5381.27,No
C0070,Female,1,Yes,Yes,7,No,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),82.05,1039.33,No
C0071,Male,0,No,Yes,56,No,No phone service,No,No,Yes,Yes,No internet service,No internet service,Yes,One year,No,Credit card (automatic),114.26,5569.03,No
C0072,Male,1,Yes,Yes,60,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),99.86,3561.15,No
C0073,Male,1,Yes,No,67,No,No,DSL,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,58.82,6108.95,No
C0074,Female,0,No,No,24,Yes,No phone service,No,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Electronic check,114.98,460.69,No
C0075,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,Two year,No,Mailed check,71.51,4726.21,No
C0076,Male,1,Yes,Yes,70,Yes,Yes,No,No,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),20.3,1246.85,No
C0077,Male,0,Yes,No,43,Yes,Yes,DSL,No,Yes,No internet service,No,Yes,No,Two year,Yes,Electronic check,44.52,5805.96,No
C0078,Female,0,Yes,Yes,18,No,No,DSL,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,81.42,1035.46,Yes
C0079,Female,1,Yes,Yes,55,No,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,Two year,Yes,Credit card (automatic),34.0,642.13,Yes
C0080,Female,1,No,Yes,65,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.57,6066.71,No
C0081,Male,1,Yes,No,21,No,No,No,No,Yes,Yes,No internet service,No,No internet service,One year,No,Electronic check,54.88,556.88,No
C0082,Male,1,Yes,Yes,55,Yes,Yes,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,72.51,1922.47,No
C0083,Female,1,No,Yes,56,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,18.19,7013.4,No
C0084,Female,0,Yes,Yes,36,No,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),104.54,6885.78,No
C0085,Female,1,No,Yes,45,Yes,No phone service,No,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),54.92,7262.69,No
C0086,Male,1,No,Yes,20,No,No,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),32.3,2783.98,No
C0087,Male,1,No,Yes,66,Yes,No,DSL,No internet service,No,No,No,No internet service,No,Month-to-month,No,Mailed check,62.67,4496.9,No
C0088,Female,1,Yes,Yes,70,Yes,No,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,67.59,6577.53,Yes
C0089,Female,0,Yes,Yes,70,No,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),83.02,1179.91,No
C0090,Male,1,No,Yes,53,No,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),71.51,6162.28,Yes
C0091,Female,0,Yes,Yes,4,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,22.44,844.88,No
C0092,Female,1,No,No,27,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),106.89,7764.19,No
C0093,Male,0,Yes,Yes,32,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,One year,No,Bank transfer (automatic),64.56,5423.66,No
C0094,Female,0,Yes,No,69,Yes,Yes,No,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,25.85,4202.22,No
C0095,Male,0,No,No,39,Yes,No,No,Yes,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),96.83,4129.47,No
C0096,Male,1,No,Yes,39,No,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Mailed check,85.34,1556.31,Yes
C0097,Female,1,No,Yes,11,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),84.24,2952.07,No
C0098,Female,0,No,Yes,57,No,No phone service,DSL,Yes,No,No,Yes,No,No internet service,One year,No,Mailed check,61.55,6185.46,Yes
C0099,Male,0,Yes,Yes,24,Yes,Yes,No,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.87,4606.28,No
C0100,Female,0,No,Yes,7,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),72.71,4507.58,No
C0101,Male,0,No,Yes,71,No,No phone service,No,No internet service,Yes,Yes,Yes,No,No internet service,Two year,No,Mailed check,23.16,1674.08,No
C0102,Female,1,Yes,Yes,14,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,48.49,5873.65,No
C0103,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),118.77,3343.23,No
C0104,Female,0,No,No,6,Yes,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),85.54,1568.11,No
C0105,Female,0,Yes,Yes,33,No,No,Fiber optic,No,Yes,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),60.73,8023.18,Yes
C0106,Female,0,No,No,8,No,Yes,DSL,No,No,No internet service,No,No internet service,No internet service,Two year,No,Credit card (automatic),40.68,4316.67,No
C0107,Female,1,Yes,Yes,60,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),94.01,4496.81,No
C0108,Male,1,Yes,No,37,Yes,No,DSL,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),44.55,8342.0,No
C0109,Female,0,Yes,Yes,23,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),34.56,3125.86,No
C0110,Male,1,Yes,No,1,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,33.76,8016.7,Yes
C0111,Female,0,No,No,35,No,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),92.38,5912.36,Yes
C0112,Female,0,No,Yes,11,No,No,No,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,83.57,5387.92,No
C0113,Male,0,No,No,70,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),25.12,2006.34,Yes
C0114,Female,0,No,Yes,21,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,No internet service,Two year,No,Mailed check,29.73,456.99,No
C0115,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,82.65,3731.28,No
C0116,Male,1,No,No,2,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,Yes,No,Two year,No,Credit card (automatic),76.25,104.27,No
C0117,Male,1,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),87.97,620.24,No
C0118,Male,1,No,Yes,15,No,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),36.16,5067.56,No
C0119,Male,0,No,No,4,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,One year,No,Credit card (automatic),92.11,6162.97,No
C0120,Male,0,No,No,52,No,Yes,Fiber optic,No,No,No,Yes,No internet service,Yes,One year,No,Electronic check,113.48,1442.54,No
C0121,Female,0,No,No,68,No,No,No,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),79.31,6231.07,No
C0122,Female,0,No,Yes,70,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Electronic check,38.01,8073.57,No
C0123,Male,0,No,No,19,No,No,Fiber optic,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,87.31,6321.62,No
C0124,Female,1,No,Yes,57,Yes,Yes,DSL,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,52.99,6673.95,No
C0125,Female,1,Yes,No,36,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),23.03,5961.44,No
C0126,Male,1,Yes,No,4,Yes,Yes,No,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),48.84,1924.22,Yes
C0127,Female,1,No,No,7,No,No phone service,DSL,No,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),110.37,3079.07,Yes
C0128,Female,1,Yes,No,39,No,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,59.94,8069.68,No
C0129,Female,1,Yes,No,31,No,No,No,Yes,Yes,No internet service,No internet service,Yes,No,One year,Yes,Credit card (automatic),106.2,5626.39,No
C0130,Female,0,No,Yes,1,Yes,Yes,DSL,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,69.88,6710.51,Yes
C0131,Female,1,No,Yes,67,Yes,No,No,No internet service,No,No,Yes,No internet service,No internet service,Two year,No,Electronic check,70.73,8234.47,No
C0132,Male,1,No,No,52,Yes,No phone service,No,No,No internet service,No internet service,No,Yes,No internet service,Two year,No,Electronic check,18.53,1981.05,No
C0133,Female,1,Yes,Yes,36,Yes,No,No,Yes,No internet service,No,No,No,No,Two year,Yes,Electronic check,82.98,2746.55,No
C0134,Female,1,Yes,No,71,No,No,DSL,No internet service,Yes,Yes,No internet service,No internet service,No internet service,One year,No,Mailed check,29.0,5487.21,No
C0135,Male,0,No,Yes,69,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Two year,No,Mailed check,66.83,224.6,Yes
C0136,Female,1,No,No,70,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No,One year,Yes,Credit card (automatic),44.55,4863.08,No
C0137,Male,0,Yes,Yes,19,No,No phone service,No,No internet service,No,Yes,Yes,Yes,No,One year,No,Electronic check,58.02,6877.29,No
C0138,Male,1,No,Yes,63,Yes,Yes,DSL,No internet service,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,72.78,5195.78,No
C0139,Male,1,Yes,Yes,36,No,No,DSL,Yes,No,No,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),19.48,2523.53,No
C0140,Female,1,No,Yes,52,Yes,Yes,DSL,No internet service,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,47.03,6159.85,No
C0141,Male,0,No,Yes,62,Yes,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,118.94,1256.64,No
C0142,Male,1,No,Yes,12,No,No,No,No,Yes,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,23.85,7607.47,No
C0143,Male,1,No,No,32,No,No phone service,DSL,No,No internet service,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),50.58,873.96,No
C0144,Female,0,Yes,No,10,No,Yes,DSL,No,No internet service,Yes,No internet service,No,No internet service,One year,No,Credit card (automatic),50.78,7342.13,No
C0145,Female,0,Yes,No,20,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,56.7,4240.42,No
C0146,Male,1,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No,Yes,Yes,One year,Yes,Mailed check,87.85,3653.78,No
C0147,Male,1,No,No,61,No,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,No,One year,Yes,Mailed check,43.27,4264.61,No
C0148,Female,1,No,No,62,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),64.95,1716.15,Yes
C0149,Male,1,No,Yes,28,No,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),83.78,3900.09,Yes
C0150,Female,0,Yes,No,24,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,One year,No,Electronic check,50.88,7225.32,No
C0151,Male,1,Yes,Yes,38,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,114.77,6811.7,No
C0152,Female,0,No,Yes,65,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,Two year,No,Credit card (automatic),117.93,1400.98,No
C0153,Male,1,No,No,70,No,No,No,No,No internet service,No,No internet service,No,No,Month-to-month,No,Electronic check,30.21,5729.96,Yes
C0154,Male,0,No,Yes,17,No,Yes,Fiber optic,No,No internet service,No,No,No,No internet service,One year,No,Credit card (automatic),53.07,7285.69,No
C0155,Female,1,Yes,No,14,No,No,DSL,No,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,39.21,6971.27,Yes
C0156,Male,0,Yes,No,51,No,Yes,No,Yes,No internet service,Yes,Yes,No internet service,No,One year,No,Bank transfer (automatic),37.05,3628.21,No
C0157,Female,1,No,No,22,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),68.08,425.92,No
C0158,Female,0,No,No,15,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),75.51,7916.18,No
C0159,Female,0,Yes,No,3,No,Yes,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),61.42,3375.9,No
C0160,Female,1,No,Yes,29,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),45.8,3079.8,Yes
C0161,Female,0,Yes,No,28,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,Two year,Yes,Electronic check,46.42,6460.21,No
C0162,Male,1,Yes,Yes,40,Yes,Yes,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),119.2,2257.01,No
C0163,Male,1,No,Yes,15,No,Yes,No,Yes,No internet service,No,No,Yes,No,Two year,No,Bank transfer (automatic),112.22,7098.33,No
C0164,Male,1,No,Yes,51,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,One year,No,Mailed check,25.74,663.07,Yes
C0165,Female,0,No,Yes,49,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Two year,Yes,Electronic check,84.97,6300.71,No
C0166,Male,0,Yes,No,33,No,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),64.6,8209.83,No
C0167,Male,0,No,Yes,13,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),88.26,8464.11,Yes
C0168,Male,1,No,No,36,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),78.89,7853.71,Yes
C0169,Male,1,No,No,48,Yes,No phone service,No,No,No internet service,No internet service,No internet service,Yes,No,One year,No,Electronic check,108.7,7403.81,Yes
C0170,Male,1,Yes,No,27,No,No,No,No internet service,No,Yes,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.83,2383.46,Yes
C0171,Male,1,No,No,19,Yes,Yes,No,No internet service,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),53.66,8217.11,No
C0172,Female,0,No,Yes,36,No,No phone service,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),118.52,7888.42,No
C0173,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,Two year,Yes,Credit card (automatic),36.59,4550.55,No
C0174,Female,0,Yes,No,29,Yes,No,DSL,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,30.99,3428.42,No
C0175,Male,0,No,No,25,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,92.36,944.8,No
C0176,Female,0,Yes,No,22,Yes,No phone service,No,Yes,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),97.3,5027.76,No
C0177,Male,0,Yes,Yes,51,Yes,No,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,86.57,5960.03,No
